name,description
Pan Pan Vino Vino,"Cozy wine haven; relaxed vibe, soft jazz, diverse crowd, intimate ambiance."
Connie O's,"Cozy dive bar, laid-back vibe, jukebox tunes, local crowd."
Diamond Lil,Green velvet booths & stained glass add to the charming art nouveau vibe at this chic cocktail bar.
Minnows Bar,"Easygoing hangout with nostalgic accents serving beers, along with burgers, hot dogs & fries."
Kingsland Bar & Grill,"Buzzing restaurant & live music venue serving casual fare such as burgers, pasta & thin-crust pizza."
Goldie's Bar,Creative cocktails & full bar offerings served in a sleek space with a Vegas throwback feel.
Lovebirds Wine Bar + Bistro,"Intimate, cozy wine bar; soulful jazz; ideal for couples, foodies."
The Palace,"Lively, vibrant bar with energetic music, friendly crowds, diverse patrons."
Heaven and Earth,"Lively bar, eclectic music, trendy vibe, diverse crowd."
Huang Jia,"Lively NYC bar, chic atmosphere, Asian-inspired music, diverse young professionals."
Hush Cafe Lounge and Garden,"Urban hookah lounge with an exotic ambiance, plus a Mediterranean-inspired menu & housemade sangria."
Bukowski's Pub,"Cozy dive bar, relaxed vibe, indie music, diverse crowd, artsy ambiance."
Ceili House,"Cozy Irish pub; warm atmosphere, live folk music, diverse patrons."
Estancia 460,Argentinian bistro with Italian influences serves regional wines in rustic whitewashed space.
GRECA,"Chic, upbeat, Grecian-inspired bar; eclectic music; attracts trendy young professionals."
ART SoHo (Arlo Roof Top),"Chic rooftop bar, stunning views, trendy vibe, eclectic music, diverse crowd."
Mosaic Lounge nyc,"Chic lounge ambiance, eclectic music, trendy crowd, vibrant social hotspot."
North Bar,"cozy, eclectic vibe, indie music, diverse clientele, intimate atmosphere."
Brasserie Fouquet's New York,"Upscale Parisian elegance, refined atmosphere, sophisticated jazz, diverse affluent clientele."
Par Ici Café New York,"Chic atmosphere, cozy vibe, eclectic tunes, diverse crowd, intimate café-bar."
Hotel Fouquet's New York,"Upscale ambiance, sophisticated vibe, eclectic tunes, posh crowd, metropolitan essence."
Foxtail,"Trendy, inviting bar with eclectic music, young professionals, vibrant atmosphere."
La Sirène Soho,Casual bistro serving traditional Southern French cuisine made with seasonal ingredients.
Lupe's East L.A. Kitchen,"Traditional Mexican menu of classic dishes, margaritas & coffee in a low-key corner dining room."
SoHo Cigar Bar,"Candlelit art deco bar draws smokers for its variety of cigars & cigarettes, cocktails & snacks."
Sopexa USA,"chic, upscale, lively, jazz-centric, catering to sophisticated professionals."
Terrace on 7,This seasonal rooftop lounge by the pool at the Trump SoHo offers cocktails & elevated bar bites.
Wine Spring,"Chic, cozy bar; relaxed vibe; jazz music; diverse, urban professional crowd."
El Ta'Koy,"Lively, tropical bar with reggae music and diverse crowd."
Bisou Wine Bar,"Cozy, intimate wine bar with smooth jazz, attracts sophisticated, relaxed crowd."
Cipriani Downtown (New York City),Upscale scene where an international crowd tucks into Italian food chased with Bellinis.
Boqueria Soho,"Creative Barcelona-style tapas made with market-fresh ingredients in a warm, modern space."
Kenn's Broome Street Bar,"Longtime local bar (since 1972) with draft beers, pub grub & an unpretentious, friendly vibe."
Pera Soho,"Elegant outpost of the Midtown original, with creative Mediterranean fare & private outdoor dining."
Altesi Downtown,Polished destination with an urbane vibe serving classic Italian cuisine & wines.
Socialista New York,Luxe cocktail lounge with bar bites that evokes Old Havana with antiques & plantation-style decor.
519,"Chic, intimate vibe; jazz music; diverse, professional crowd; cozy décor."
Black Tap Craft Burgers & Beer - SoHo,Lively spot with gourmet burgers; retro vibe; hip hop music; diverse crowd.
Altro Paradiso,"Modern takes on traditional Italian cooking in an airy, wood-accented space with a marble bar."
Cork Cafe & Wine Bar,"Cozy, elegant spot; relaxed vibe; jazz tunes; mixed ages; wine lovers."
Thompson Square Studios,"Trendy, intimate space; eclectic music; artsy vibe; youthful, diverse crowd."
Her Name Was Carmen,"Hip, laid-back stop offering Latin-inspired seafood plus a downstairs bar for cocktails & music."
Chaozinho Top,"Lively, exotic, Brazilian-themed; upbeat Latin music; diverse crowd."
(SUB)MERCER,"Underground, intimate, exclusive bar; house music; attracts trendy, influential crowd."
Emilio's Ballato,Old-school waiters set the tone at this longtime Italian restaurant and celebrity hangout.
The Crosby Bar,"Chic, colorful lounge inside the Crosby Hotel offering global eats, afternoon tea & cocktails."
Botanica Bar,Low-key hangout where fans sip cocktails on couches; on weekends there's a DJ and karaoke.
Emporio,"Rustic, cozy ambiance; Latin music; diverse crowd; artisanal cocktails; lively vibe."
Sant Ambroeus Lafayette,"Elegant Italian bistro, sophisticated ambiance, jazz music, attracts professionals and creatives."
Local 92,"Informal Middle Eastern restaurant also serving American eats in cozy, rustic digs with a piano."
Milano's Bar,"Historic local watering hole offering beers & chips plus a jukebox, Christmas lights & memorabilia."
Gospel,"intimate, jazz-themed, soul music, cozy, dim lighting, mixed demographic."
The Bar on Mulberry LLC,"Cozy, eclectic atmosphere, chill vibes, indie music, diverse, young professional crowd."
Sláinte Bar and Lounge,"Flashy, dimly lit Latin nightclub with dancing, DJs & live music, plus bottle service & cocktails."
Tom and Jerry's,"Cozy dive bar, vintage decor, classic rock music, diverse young crowd."
288 Bar,"Cozy, vibrant, eclectic tunes, young professionals, relaxed, intimate, welcoming."
TWO FIFTEEN,"Chic, contemporary cocktail bar at this plush hotel lounge with a fireplace."
THE ROOF,"Chic rooftop bar, stunning views, energetic vibe, electronic music, young professionals."
Bar 8 à 10 pour Catherine & cie,"Chic bar with jazzy vibes, sophisticated crowd, elegant atmosphere, lively."
310 Bowery Bar,"Hip, rustic bar serving cocktails & pizza in a brick-lined space with Edison bulbs & TVs."
Spicy Moon - Bowery,"Cozy, vibrant vegetarian bar, relaxed atmosphere, eclectic playlist, diverse patrons."
Karma,"chic bar, relaxed vibe, eclectic tunes, diverse, young crowd."
d.b.a.,"Rustic, casual bar with craft beers, eclectic crowd, blues music, laid-back."
Lucien,Longtime East Village eatery showcasing classic French bistro cooking in a Parisian-style room.
La Linea,"lively atmosphere, Latin music, cocktails, diverse crowd, energetic vibe."
BATSU!,"Energetic comedy bar, Japanese-themed, interactive shows, lively crowd, diverse music."
The Grayson,"lively sports bar, vibrant atmosphere, top 40 hits, youthful crowd."
BAR GOTO,Kenta Goto (ex Pegu Club) offers cocktails & food with a Japanese spin at this contemporary izakaya.
Nexus Lounge,"Chic, vibrant bar; eclectic music mix; trendy crowd; energetic, stylish ambiance."
One and One,"Vibrant, lively bar with diverse crowd, eclectic music, and energetic atmosphere."
Aziza Cafe and Lounge,Hookah lounge with a laid-back vibe supplying hummus plates & other Middle Eastern & Moroccan bites.
La Sultana,"Cozy, eclectic, Mediterranean tunes, vibrant decor, diverse, welcoming crowd."
MayRee,"Cozy, eclectic bar with jazz music; attracts artistic, youthful crowd."
Nine Cases,"Chic bar, vibrant atmosphere, eclectic music, diverse young professionals."
Kavasutra Kava Bar - 1st Street,"Chill, relaxed vibe with alternative music, diverse crowd, unique kava drinks."
Superbueno,"Lively atmosphere, Latin-inspired vibes, eclectic music, diverse youthful crowd."
Rake Wine Bar,"Cozy atmosphere, eclectic vibe, jazz music, diverse crowd, sophisticated wine."
Lydia’s,"Cozy, dim-lit bar; eclectic music; artsy, intellectual crowd; relaxed."
Fools Gold NYC,"Pub by the Beerly Legal Group (The Jeffrey) offering brews, bourbons, seasonal drinks & bar bites."
Two Doors Down,"Cozy neighborhood bar, relaxed vibe, classic rock, diverse and friendly patrons."
The Black Saddle,"rustic Western vibe, country music, diverse, friendly crowd."
Graffito Bar NYC,"Trendy, urban, lively bar with hip-hop music, young professional crowd."
Only Love Strangers,"Intimate bar, eclectic vibe, diverse crowd, indie music, welcoming atmosphere."
DROM,"This gypsy-themed lounge hosts a global roster of performers, ranging from jazz & funk to hip-hop."
Supper,"Chic, intimate Manhattan spot; jazzy tunes, upscale vibe; young professionals."
2A,Bi-level standby with an old-school haunt on the 1st floor & a relaxed lounge with views on the 2nd.
Sing Sing Ave A.,Private rooms & an extensive song list lure warblers to this karaoke bar.
The Library,"Cozy, book-themed bar with indie music attracting eclectic, intellectual crowd."
Somtum Der,Smartly decorated Thai restaurant presenting regional Isan cuisine via shareable plates.
Kelly's Sports Bar,Sports fans (especially hockey fanatics) flock to this classic Irish pub to watch the game.
Double Down Saloon,"NYC offshoot of a longtime Las Vegas punk bar, best known for its bacon martinis."
Berlin,"Edgy, dark ambiance, techno beats, industrial decor, diverse crowd."
Sophie's,"cozy dive bar, casual atmosphere, rock music, diverse, friendly crowd."
Mary O's,Welcoming bar & grill serving Irish & American flavors in a modern setting with distinctive decor.
sweetie,"Chic atmosphere, upbeat lounge vibe, electronic music, trendy crowd, cocktails."
Old Flings,"Cozy, retro vibe; nostalgic tunes; intimate, relaxed crowd; 30s professionals."
Conor's Goat,"Cozy, lively Irish pub; folk music; diverse crowd; friendly, relaxed atmosphere."
Bibi Wine Bar,"Sandwiches, salads & small plates are offered alongside lots of vino at this laid-back wine bar."
Wiggle Room,"Beer, wine & inventive cocktails fixed up in a buzzy bar with live DJs & an edgy vibe."
Horus Cafe,"Lively atmosphere, Middle Eastern vibe, eclectic music, diverse crowd."
Ace Bar,"Bar with darts, Skee-Ball & nostalgic decor that reflects Alphabet City's gritty history."
Gruppo NYC Thin Crust Pizza,"A neighborhood bar-like pizzeria serving thin-crust pies along with salads, pastas & desserts."
Sake Bar Satsko,"Tiny, unpretentious izakaya-style joint serving sake & sake cocktails, soju & Japanese small plates."
7B Horseshoe Bar aka Vazacs,"Long-running, no-nonsense bar featuring a jukebox loaded with punk & an old-school photobooth."
Offside NYC,"Narrow, unpretentious venue for wings, nachos, beers & cocktails plus happy hour & sports on TVs."
Josie's,"Cozy vibe, classic rock, retro decor, diverse clientele, affordable drinks."
O'toole's Way Restaurant & Bar,"Casual vibe, Irish pub atmosphere, live folk music, diverse young crowd."
GAMA,"Chic NYC bar, vibrant vibe, eclectic music, young professional crowd."
Fabulae Italian wine,"Sophisticated, cozy atmosphere; jazz music; Italian wines; upscale clientele; romantic vibes."
Pineapple Club,"International plates & tropical cocktails served in a vast locale with colorful, fashionable decor."
Identity Bar & Lounge,"Chic atmosphere, energetic vibe, mixed music, diverse crowd, stylish interior."
Lamia's Fish Market,A fish-forward menu is served in a vibrant setting with nautical accents & raw fish on beds of ice.
Nowon East Village,Korean-American plates are served in an intimate setting with hip hop influences.
Pig & Butter Ave B Bar,"Trendy, cozy bar with eclectic music, diverse crowd, friendly atmosphere."
Book Club Bar,Cozy bookstore with comfy chairs for reading plus a bar serving handcrafted drinks.
Down & Out,"Cozy dive bar, dimly lit, indie rock, diverse crowd, relaxed vibe."
POST,"Lively NYC bar with indie music, eclectic crowd, vintage chic atmosphere."
Alphabet City Beer Co.,"Cozy bar/beer store with tap selections, growler fills, a cheese & meat counter & bottles to go."
The Wayland,Cutting-edge cocktails are served in a no-frills setting at this laid-back barroom.
The Summit Bar & Cafe,Crystal chandeliers & wood/steel benches contribute to a sophisticated scene at this cocktail bar.
Ding-a-ling,"Dive bar vibe, eclectic crowd, relaxed atmosphere, rock music, quirky decor."
Joyface,"Subdued 1970s-style bar with plush couches, a disco ball & waterbed, serving innovative cocktails."
HiLot,"Trendy, vibrant, upscale, eclectic music, diverse crowd, energetic vibe."
Two Perrys,"Cozy, eclectic vibe; soul and jazz music; diverse, artsy crowd."
Accidental Bar,"Trendy, intimate sake bar; relaxed vibe, modern Japanese music, diverse clientele."
Spritzenhaus33,"Beer hall serving craft brews in a 6,000-sq.-ft. industrial setting with communal tables."
Brooklyn Winery,This stylish tasting room of a local wine producer also offers beer & a menu of gourmet nibbles.
Dashi Okume,"Cozy Japanese bar, ambient vibes, mellow music, diverse patrons, sake-focused."
